,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
320,ASIANPAINT,EQ,1003.0,1004.85,983.35,985.1,984.5,1000.4,523870,518280472.25,2016-07-05,18099,INE021A01026
321,ASIANPAINT,EQ,880.5,884.9,858.7,861.7,862.55,881.8,1326303,1153251585.85,2016-02-25,51126,INE021A01026
322,ASIANPAINT,EQ,1027.1,1044.9,1025.25,1028.5,1029.95,1025.9,721547,747840135.6,2016-07-18,19336,INE021A01026
323,ASIANPAINT,EQ,967.95,974.9,952.55,969.9,965.85,958.55,4460941,4322120597.7,2016-11-30,102145,INE021A01026
324,ASIANPAINT,EQ,943.9,953.3,938.8,945.45,944.05,936.1,1460489,1382400638.9,2016-11-25,57069,INE021A01026
325,ASIANPAINT,EQ,1004.85,1009.0,996.05,1003.3,997.5,994.2,1039352,1042594914.95,2016-06-30,29048,INE021A01026
326,ASIANPAINT,EQ,875.5,882.0,860.05,865.7,867.5,878.4,1811388,1575179274.45,2016-12-20,63850,INE021A01026
327,ASIANPAINT,EQ,953.5,972.0,947.75,969.65,970.3,952.65,1770437,1706954209.7,2016-05-17,53085,INE021A01026
328,ASIANPAINT,EQ,864.0,867.5,860.65,864.8,865.0,866.25,199724,172590495.75,2016-05-02,12118,INE021A01026
329,ASIANPAINT,EQ,870.4,870.4,856.0,861.75,865.8,871.55,587700,505419312.2,2016-04-25,37237,INE021A01026
330,ASIANPAINT,EQ,1143.0,1161.25,1125.4,1137.5,1137.1,1145.1,795382,908808517.7,2016-08-12,36285,INE021A01026
331,ASIANPAINT,EQ,867.2,876.5,861.55,865.55,865.0,865.7,1321988,1150955977.6,2016-12-21,40495,INE021A01026
332,ASIANPAINT,EQ,938.25,965.75,932.05,936.1,935.0,942.05,2908165,2757201523.0,2016-11-24,88714,INE021A01026
333,ASIANPAINT,EQ,974.1,993.0,963.6,989.55,990.0,984.1,777600,760039541.4,2016-06-24,31010,INE021A01026
334,ASIANPAINT,EQ,1031.0,1037.5,1021.2,1030.7,1028.05,1028.5,541334,557631807.55,2016-07-19,22652,INE021A01026
335,ASIANPAINT,EQ,879.0,885.75,875.0,881.8,880.8,877.1,1289097,1135830380.4,2016-02-24,72151,INE021A01026
336,ASIANPAINT,EQ,869.5,886.9,865.4,872.0,873.9,864.8,1073196,942039744.3,2016-05-03,34707,INE021A01026
337,ASIANPAINT,EQ,948.95,957.8,945.0,952.65,953.5,943.65,1913343,1821151650.35,2016-05-16,46755,INE021A01026
